curie,label,retrieved_at
NCBITaxon:2,Bacteria,2025-12-16T18:00:30.701617
NCBITaxon:2157,Archaea,2025-12-16T18:00:30.702441
NCBITaxon:4751,Fungi,2025-12-16T18:00:30.703261
