curie,label,retrieved_at
STATO:0000248,blocking variable,2026-05-03T16:35:52.767741
STATO:0000729,date Time variable,2026-05-03T16:35:52.768355
STATO:0000731,time-to-event variable,2026-05-03T16:35:52.768620
